AsOfDate,Comapny,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL_Balance,IHUB_Balance,BalanceDiff,MatchBreak
10/25/2023,PWFHPE9S,82655541,6427,USD,Personal Loan Account,payment transaction at Reichert: Kerluke and Monahan using card ending with ***(...2161) for XAF 547.50 in account ***28776838,74641.83,97126.0,-22484.17,Break
10/16/2024,IOLVMA4VXXX,41982587,2315,CNY,Savings Account,invoice transaction at Zulauf - Morar using card ending with ***(...1210) for BZD 777.96 in account ***62578754,49589.41,49588.91,0.5,Match
08/01/2024,EEUGAIGR1TE,85124193,6828,USD,Personal Loan Account,withdrawal transaction at Senger - Gutmann using card ending with ***(...0089) for SDG 421.34 in account ***31088849,70171.98,7083.96,63088.02,Break
06/12/2024,LLHODJLDXOV,3731631,7297,USD,Auto Loan Account,invoice transaction at Stoltenberg - Kilback using card ending with ***(...7232) for BBD 632.08 in account ***87690304,80575.51,53495.54,27079.969999999998,Break
12/29/2023,YNTTQAXI,84421175,7784,BMD,Savings Account,invoice transaction at Pollich Group using card ending with ***(...6595) for CLP 339.10 in account ***62031537,54501.58,96113.29,-41611.70999999999,Break
10/31/2023,FKNHMRIY,71510193,5917,CUP,Money Market Account,invoice transaction at Kulas: Swaniawski and Sipes using card ending with ***(...3856) for BYN 620.09 in account ***38553590,33162.87,91282.65,-58119.77999999999,Break
11/05/2023,WEWFFOWPFEP,9302370,3705,SZL,Savings Account,deposit transaction at Hartmann - Heller using card ending with ***(...1505) for MKD 628.05 in account ***42131793,43477.1,41860.85,1616.25,Break
09/16/2024,LUSYMQ6T,47293490,3432,LAK,Checking Account,withdrawal transaction at Miller - Hegmann using card ending with ***(...5241) for DOP 310.83 in account ***66153418,34594.02,75190.12,-40596.1,Break
04/28/2024,FRLEZWFK,9219443,8007,LRD,Auto Loan Account,payment transaction at Ziemann and Sons using card ending with ***(...0987) for HKD 394.43 in account ***55204022,73159.03,35071.02,38088.01,Break
12/10/2023,KKLJLIM3XXX,6228851,6748,MYR,Investment Account,payment transaction at Collins LLC using card ending with ***(...6511) for XCD 215.05 in account ***04754227,83753.17,62254.85,21498.32,Break
11/28/2023,ZEKTBVV2,35316257,5189,OMR,Money Market Account,deposit transaction at Haag: Fisher and Schneider using card ending with ***(...3198) for SBD 995.94 in account ***50212170,31173.82,90288.2,-59114.38,Break
10/15/2024,VWQUBFR4XXX,54748083,7789,XOF,Savings Account,invoice transaction at Altenwerth LLC using card ending with ***(...6348) for SLE 843.17 in account ***16456363,20812.72,88745.14,-67932.42,Break
02/26/2025,IUTUKZWN,1160762,9887,MDL,Checking Account,invoice transaction at Murazik and Sons using card ending with ***(...5296) for LSL 762.42 in account ***70420220,19505.89,75296.01,-55790.12,Break
10/26/2023,MBQITMAW,46287435,2271,USD,Checking Account,deposit transaction at Ziemann - Bahringer using card ending with ***(...3870) for UAH 545.52 in account ***33162964,58396.5,9847.37,48549.13,Break
06/03/2024,MFQBBSR75UR,89744996,8816,USD,Money Market Account,deposit transaction at Dickinson - Gutkowski using card ending with ***(...6737) for NPR 128.17 in account ***24064523,42457.01,52196.9,-9739.89,Break
